fecha,total_rows,with_email,valid_format,unique_emails,duplicate_emails,sendable,pct_with_email,pct_valid_of_with,pct_sendable_of_total
2025-08-04,6892,6565,6343,5105,1276,5105,95.26,96.62,74.07
2025-08-05,6072,5792,5628,4436,1218,4436,95.39,97.17,73.06
2025-08-06,6312,6046,5858,4578,1315,4578,95.79,96.89,72.53
2025-08-07,10781,9241,9015,6665,2393,6665,85.72,97.55,61.82
2025-08-08,6897,6893,6692,4888,1854,4888,99.94,97.08,70.87
2025-08-09,6731,6723,6525,4562,2019,4562,99.88,97.05,67.78
2025-08-10,9019,9013,8725,4519,4327,4519,99.93,96.8,50.11
2025-08-11,6956,6928,6718,5096,1650,5096,99.6,96.97,73.26
2025-08-12,5592,5542,5355,4196,1201,4196,99.11,96.63,75.04
2025-08-13,5170,5160,4976,4021,1005,4021,99.81,96.43,77.78
2025-08-14,6395,6279,6053,4893,1201,4893,98.19,96.4,76.51
2025-08-15,10272,8835,8618,6667,1977,6667,86.01,97.54,64.9
2025-08-16,8203,7249,7078,5506,1596,5506,88.37,97.64,67.12
2025-08-17,7347,6804,6602,5226,1421,5226,92.61,97.03,71.13
2025-08-18,7700,6818,6565,5251,1376,5251,88.55,96.29,68.19
2025-08-19,7286,6426,6183,4948,1297,4948,88.2,96.22,67.91
2025-08-20,6780,6223,6027,4766,1310,4766,91.78,96.85,70.29
2025-08-21,6789,6134,5945,4827,1164,4827,90.35,96.92,71.1
2025-08-22,14036,12235,11862,6414,5639,6414,87.17,96.95,45.7
2025-08-23,8188,7066,6856,5282,1612,5282,86.3,97.03,64.51
2025-08-24,8368,7222,6969,5298,1726,5298,86.3,96.5,63.31
2025-08-25,8568,7454,7230,5602,1667,5602,87.0,96.99,65.38
2025-08-26,9292,8346,8114,5234,2948,5234,89.82,97.22,56.33
2025-08-27,8099,7139,6938,5629,1334,5629,88.15,97.18,69.5
2025-08-28,9677,8331,8097,6453,1677,6453,86.09,97.19,66.68
2025-08-29,10345,8938,8708,6937,1816,6937,86.4,97.43,67.06
2025-08-30,9373,8062,7857,6224,1675,6224,86.01,97.46,66.4
2025-08-31,7583,6770,6550,5357,1218,5357,89.28,96.75,70.64
2025-09-01,8207,7337,7124,5767,1387,5767,89.4,97.1,70.27
2025-09-02,7417,6432,6272,5105,1188,5105,86.72,97.51,68.83
2025-09-03,6690,5828,5681,4689,1009,4689,87.12,97.48,70.09
